jour;categorie;value
2016-07-27;Professionnels;3787475565.0
2016-07-30;Professionnels;3491106675.0
2016-08-21;PME / PMI;3564843831.0
2016-08-21;Professionnels;2967472650.0
2016-08-28;Entreprises;9179150643.0
2016-09-05;Professionnels;3714683482.0
2016-09-20;Résidentiels;10738427183.0
2016-09-20;PME / PMI;4622473927.0
2016-10-08;Résidentiels;14752972340.0
2016-10-08;Entreprises;9927838571.0
2016-10-08;Professionnels;3968806073.0
2016-10-21;Résidentiels;16587013286.0
2016-11-06;Entreprises;9115073604.0
2016-11-08;Entreprises;15328452221.0
2016-11-21;PME / PMI;6277600680.0
2016-11-25;Résidentiels;20093797006.0
2016-12-24;Résidentiels;24573658630.0
2017-01-02;Entreprises;12720504274.0
2017-01-10;Entreprises;15619506294.0
2017-03-11;Professionnels;4616006030.0
2017-03-13;Résidentiels;17808201531.0
2017-03-13;PME / PMI;5751437097.0
2017-03-15;Entreprises;14428445605.0
2017-04-14;PME / PMI;4824597649.0
2017-04-14;Professionnels;4302254808.0
2017-04-15;PME / PMI;4048341247.0
2017-05-29;Résidentiels;11230413466.0
2017-05-29;Entreprises;13605883620.0
2017-06-05;Résidentiels;11299830162.0
2017-06-05;Entreprises;9973905453.0
2017-06-05;Professionnels;2878290777.0
2017-07-06;Entreprises;15370003673.0
2017-07-06;PME / PMI;5231237459.0
2017-08-19;Entreprises;9150918314.0
2017-09-09;Résidentiels;11498430316.0
2017-09-09;Entreprises;9843300947.0
2017-09-20;Entreprises;14286349520.0
2017-10-14;Entreprises;10055277657.0
2017-10-23;PME / PMI;5067912512.0
2017-10-23;Professionnels;4417693910.0
2017-11-25;Entreprises;10575138291.0
2017-12-04;Résidentiels;27212233848.0
2017-12-21;Professionnels;6534462129.0
2018-01-03;PME / PMI;6491059992.0
2018-01-07;PME / PMI;5067142122.0
2018-03-13;Professionnels;5669263722.0
2018-03-14;PME / PMI;6205460946.0
2018-03-18;Professionnels;5156270366.0
2018-03-27;PME / PMI;6699845175.0
2018-04-07;PME / PMI;4493990273.0
2018-04-20;Professionnels;3802275613.0
2018-05-02;Professionnels;4473548246.0
2018-05-25;PME / PMI;4561752552.0
2018-05-27;PME / PMI;3148119422.0
2018-05-27;Professionnels;2863045986.0
2018-05-29;Professionnels;3664296941.0
2018-05-30;Résidentiels;10875662073.0
2018-06-15;Résidentiels;10324337654.0
2018-07-01;Entreprises;9682474470.0
2018-07-23;Résidentiels;10482741365.0
2018-07-24;Résidentiels;10506841206.0
2018-08-03;Entreprises;13390639697.0
2018-09-04;PME / PMI;4903804740.0
2018-09-11;Entreprises;14514733670.0
2018-11-04;Entreprises;8926469460.0
2018-11-27;Résidentiels;23269430296.0
2018-11-27;Professionnels;6226147894.0
2018-12-26;Entreprises;11325963261.0
2018-12-30;Résidentiels;27093292346.0
2019-01-07;Entreprises;14498563661.0
2019-02-14;Résidentiels;24402962489.0
2019-03-06;Entreprises;14551279028.0
2019-04-28;Résidentiels;17090618898.0
2019-04-28;Professionnels;3781773794.0
2019-05-09;Professionnels;4467924782.0
2019-05-23;PME / PMI;4955583728.0
2019-06-19;PME / PMI;5014554222.0
2019-06-23;PME / PMI;3528373977.0
2019-07-03;Entreprises;14984682066.0
2019-08-15;Professionnels;3054989509.0
2019-10-05;Professionnels;3881954080.0
2019-10-20;Entreprises;8576132262.0
2019-11-05;Résidentiels;17027050191.0
2019-11-08;Résidentiels;20442218140.0
2019-11-17;Professionnels;5190557234.0
2019-11-19;Résidentiels;24577222568.0
2019-11-19;PME / PMI;6918285366.0
2019-11-19;Professionnels;6316279459.0
2019-11-30;PME / PMI;5093792876.0
2019-12-29;Professionnels;5373164580.0
2020-01-24;Entreprises;14757726102.0
2020-02-09;PME / PMI;4450947345.0
2020-02-11;Entreprises;14685425015.0
2020-02-12;PME / PMI;6259005305.0
2020-03-02;Résidentiels;23086699858.0
2020-03-02;PME / PMI;6102218324.0
2020-03-10;Résidentiels;21298301494.0
2020-03-23;Résidentiels;19707198318.0
2020-04-17;Entreprises;10563774321.0
2020-04-30;PME / PMI;3750952066.0
2020-05-22;Professionnels;3451294937.0
2020-07-10;PME / PMI;4906876116.0
2020-07-21;Professionnels;4104377543.0
2020-09-11;Professionnels;4213941451.0
2020-09-14;PME / PMI;5199112067.0
2020-09-20;Résidentiels;12395630029.0
2020-09-20;Professionnels;3324085400.0
2020-09-25;Résidentiels;11698867170.0
2020-11-08;Entreprises;8529004547.0
2020-12-15;Résidentiels;21793886142.0
2020-12-24;Résidentiels;22701068031.0
2020-12-24;Entreprises;10144197033.0
2020-12-25;PME / PMI;4246264482.0
2020-12-30;Entreprises;11120179813.0
2021-01-04;PME / PMI;4104677059.0
2021-01-18;PME / PMI;3876424796.0
2021-02-11;Professionnels;6859001342.0
2021-03-03;Résidentiels;19996040646.0
2021-03-03;Entreprises;15685660592.0
2021-03-17;Entreprises;16299706391.0
2016-04-08;Entreprises;13870398236.0
2016-04-19;Résidentiels;15932407320.0
2016-04-19;Professionnels;4689249470.0
2016-04-22;Professionnels;4469944955.0
2016-05-06;PME / PMI;3801201975.0
2016-06-10;Résidentiels;10754696456.0
2016-06-17;PME / PMI;4844483932.0
2016-06-24;Résidentiels;10842961917.0
2016-06-26;Résidentiels;11669696488.0
2016-07-04;Professionnels;3629720695.0
2016-07-07;Résidentiels;10667437332.0
2016-07-07;Professionnels;3903246856.0
2016-07-23;Entreprises;10397109083.0
2016-07-23;Professionnels;3472045190.0
2016-07-28;Résidentiels;10741655561.0
2016-08-01;Résidentiels;10601396416.0
2016-08-01;Professionnels;3449100547.0
2016-08-06;Résidentiels;10702506981.0
2016-08-06;PME / PMI;4087550801.0
2016-08-27;Professionnels;3646359831.0
2016-09-06;Entreprises;14767461971.0
2016-09-12;Entreprises;14060298266.0
2016-10-07;Entreprises;13749514042.0
2016-10-10;PME / PMI;4862389673.0
2016-10-19;PME / PMI;5189075576.0
2016-11-18;Professionnels;5647621614.0
2016-12-16;PME / PMI;6254688221.0
2016-12-31;Entreprises;9705998019.0
2017-01-06;Résidentiels;31731552974.0
2017-01-08;Résidentiels;31410779443.0
2017-01-08;PME / PMI;5329481563.0
2017-01-13;Entreprises;14993882119.0
2017-01-15;PME / PMI;5527614119.0
2017-01-26;Résidentiels;32675428965.0
2017-02-02;PME / PMI;6712404887.0
2017-02-22;Professionnels;5652443555.0
2017-03-05;Professionnels;4973759929.0
2017-03-16;Entreprises;14343533303.0
2017-03-23;Résidentiels;19225899189.0
2017-04-19;Entreprises;14132049468.0
2017-04-28;Professionnels;5076895729.0
2017-05-17;PME / PMI;4609677385.0
2017-06-30;PME / PMI;4884955127.0
2017-08-23;Résidentiels;10571683954.0
2017-08-23;Professionnels;3736670498.0
2017-08-26;PME / PMI;4016907043.0
2017-10-02;PME / PMI;4679893228.0
2017-11-11;Entreprises;10039077613.0
2017-11-11;Professionnels;4469696890.0
2017-11-29;Résidentiels;24738405311.0
2017-11-29;Entreprises;15399052113.0
2017-12-05;Résidentiels;25780759287.0
2018-01-14;PME / PMI;5032136333.0
2018-01-31;Entreprises;15153725750.0
2018-02-23;Entreprises;15144224366.0
2018-04-08;PME / PMI;3937068338.0
2018-04-21;PME / PMI;3588194052.0
2018-05-04;PME / PMI;4846201928.0
2018-05-10;Professionnels;2898554548.0
2018-05-20;Entreprises;8350171739.0
2018-06-18;PME / PMI;4747406345.0
2018-06-29;Résidentiels;10813363419.0
2018-07-07;PME / PMI;4288486641.0
2018-07-12;Professionnels;3933778842.0
2018-07-19;Résidentiels;10314098418.0
2018-07-19;Professionnels;4033787374.0
2018-08-28;Résidentiels;10334783354.0
2018-09-27;Entreprises;14438383167.0
2018-10-21;PME / PMI;3348664399.0
2018-11-23;Entreprises;14558073269.0
2018-11-23;Professionnels;6147925026.0
2018-12-14;Résidentiels;28925897631.0
2018-12-17;Professionnels;6273795673.0
2019-01-19;Entreprises;11241221760.0
2019-01-22;Résidentiels;29478970835.0
2019-02-03;Entreprises;9985660211.0
2019-02-09;Professionnels;5537704419.0
2019-03-21;PME / PMI;5947456839.0
2019-03-22;PME / PMI;5696809311.0
2019-03-24;Entreprises;8894729099.0
2019-03-26;PME / PMI;5915634446.0
2019-03-27;Professionnels;5057633678.0
2019-03-29;Entreprises;13656247199.0
2019-03-29;Professionnels;4908988354.0
2019-03-30;Professionnels;4320469735.0
2019-04-10;Résidentiels;17162299801.0
2019-04-24;Résidentiels;12766441188.0
2019-04-24;Professionnels;4106701811.0
2019-06-21;PME / PMI;5004887285.0
2019-06-27;Entreprises;15512891176.0
2019-08-04;Entreprises;8595798197.0
2019-08-30;Résidentiels;10966501540.0
2019-09-23;Professionnels;3683515502.0
2019-10-17;Entreprises;14014686014.0
2019-11-13;Résidentiels;22663238174.0
2019-12-10;Professionnels;6551887593.0
2020-02-06;Entreprises;14981609837.0
2020-03-20;Entreprises;10625776436.0
2020-03-20;Professionnels;3591022238.0
2020-07-07;PME / PMI;5021130222.0
2020-07-12;Professionnels;3299749902.0
2020-08-15;Entreprises;9059747460.0
2020-08-31;Professionnels;3629981577.0
2020-10-11;Résidentiels;18326864543.0
2020-10-11;PME / PMI;3805420794.0
2020-12-23;Entreprises;11766678731.0
2020-12-28;PME / PMI;6002886193.0
2021-01-20;PME / PMI;3631460858.0
2016-04-12;Résidentiels;15369770773.0
2016-04-12;PME / PMI;5358222250.0
2016-05-20;Résidentiels;12633941222.0
2016-05-24;PME / PMI;5028267132.0
2016-06-06;Professionnels;3675316727.0
2016-06-28;Résidentiels;10568809524.0
2016-07-20;Résidentiels;10808409456.0
2016-07-20;Professionnels;3950412996.0
2016-08-12;Entreprises;11489392118.0
2016-09-02;PME / PMI;4983847224.0
2016-09-09;Résidentiels;10768638025.0
2016-09-09;Entreprises;14166488212.0
2016-09-18;Professionnels;3090104147.0
2016-09-21;Professionnels;3905761980.0
2016-10-06;Résidentiels;12905045137.0
2016-11-12;Résidentiels;23504063960.0
2016-12-08;Résidentiels;24546302542.0
2017-02-16;Professionnels;5737306928.0
2017-02-28;Résidentiels;22630843347.0
2017-03-22;Professionnels;5352916319.0
2017-04-07;Entreprises;13571900168.0
2017-04-07;Professionnels;4547004597.0
2017-04-24;Résidentiels;14792831792.0
2017-05-02;Résidentiels;15889181711.0
2017-05-15;Professionnels;3655869544.0
2017-05-26;Professionnels;3494028882.0
2017-06-10;Résidentiels;10969125544.0
2017-06-10;Entreprises;10421943996.0
2017-06-16;Professionnels;4015748701.0
2017-06-19;Résidentiels;11392574874.0
2017-06-19;Professionnels;3762909189.0
2017-07-12;PME / PMI;5220367380.0
2017-07-17;Entreprises;14210490286.0
2017-07-22;Entreprises;10366443800.0
2017-07-22;Professionnels;3480393613.0
2017-07-25;Résidentiels;10312617626.0
2017-07-26;Résidentiels;10383159855.0
2017-07-26;Entreprises;13904372574.0
2017-08-08;Professionnels;3602028086.0
2017-08-14;Entreprises;9999784014.0
2017-08-20;Entreprises;8062917388.0
2017-09-18;PME / PMI;5009903458.0
2017-10-12;PME / PMI;4908557490.0
2017-10-24;Entreprises;14297602898.0
2017-11-08;Professionnels;5998829866.0
2017-12-26;Résidentiels;24062664767.0
2017-12-26;Entreprises;11141229693.0
2017-12-31;Résidentiels;23422429929.0
2018-01-11;Entreprises;14980709477.0
2018-02-20;Résidentiels;24533730910.0
2018-02-20;Entreprises;15310796347.0
2018-03-12;PME / PMI;6344275806.0
2018-06-11;Entreprises;13349884339.0
2018-06-22;PME / PMI;4889930852.0
2018-07-18;Professionnels;3940320917.0
2018-07-29;Entreprises;9068550086.0
2018-07-29;Professionnels;3264287648.0
2018-09-06;PME / PMI;4913057904.0
2018-10-24;Résidentiels;14005045746.0
2018-11-15;Résidentiels;16969910316.0
2018-12-02;Professionnels;4584494859.0
2018-12-05;Professionnels;5503644185.0
2018-12-09;PME / PMI;4337655946.0
2018-12-20;PME / PMI;6675747157.0
2019-02-10;Résidentiels;25157856949.0
2019-02-13;Résidentiels;25542746636.0
2019-02-22;Résidentiels;20419936152.0
2019-02-22;PME / PMI;5944548289.0
2019-03-31;Professionnels;3804871207.0
2019-04-09;Professionnels;4798318700.0
2019-05-10;Résidentiels;14486464376.0
2019-05-25;Entreprises;9792659560.0
2019-05-29;Entreprises;13569366417.0
2019-05-29;PME / PMI;4813593995.0
2019-06-20;Professionnels;3720623037.0
2019-06-30;Résidentiels;12686584933.0
2019-07-25;Résidentiels;12197993957.0
2019-08-10;Résidentiels;10771522613.0
2019-08-12;PME / PMI;4579516926.0
2019-09-04;Professionnels;3854936599.0
2019-09-09;Résidentiels;11190129693.0
2019-09-15;Professionnels;3245656347.0
2019-09-25;PME / PMI;4810119229.0
2019-09-25;Professionnels;3885362462.0
2019-10-10;Résidentiels;12566811632.0
2019-12-11;Résidentiels;25495651128.0
2019-12-14;PME / PMI;5081598963.0
2019-12-14;Professionnels;5642716125.0
2019-12-25;PME / PMI;4306888643.0
2019-12-31;Entreprises;10919597831.0
2019-12-31;Professionnels;6024569667.0
2020-01-07;Professionnels;6430171435.0
2020-02-14;Résidentiels;21359311057.0
2020-03-04;Résidentiels;24071968670.0
2020-03-04;PME / PMI;6265835880.0
2020-05-23;Résidentiels;11950530644.0
2020-05-23;Entreprises;8369406959.0
2020-05-23;Professionnels;3168997090.0
2020-07-08;PME / PMI;5078152423.0
2020-08-11;Entreprises;12351610161.0
2020-08-25;Entreprises;13330634162.0
2020-08-25;PME / PMI;4808695075.0
2020-09-04;Entreprises;13449945658.0
2020-09-24;Résidentiels;10904892515.0
2020-09-26;PME / PMI;4028072188.0
2020-10-19;Entreprises;13315161642.0
2020-10-27;Entreprises;13955768229.0
2020-10-27;Professionnels;5032939834.0
2020-11-22;Entreprises;9007462960.0
2020-11-29;Entreprises;9237005696.0
2020-11-29;Professionnels;4699081382.0
2020-12-11;Entreprises;14021075277.0
2021-01-02;Entreprises;11635481769.0
2021-02-04;Résidentiels;21821464323.0
2021-02-13;Résidentiels;33936470499.0
